Gene,SubType,Spearman Rho,UniqueMutations,PV,Sig,RoleinCancer,BinnedRole,Pearson,PearsonPValue,EnsemblGeneId,Cellular Component,Biological Process,Molecular Function
AFF4,Missense,0.370448813618437,74,0.00115857395119648,Y,"oncogene, fusion",Oncogene,0.454349400336937,4.77678108354175e-05,ENSG00000072364,"GO:0005634|nucleus, GO:0001650|fibrillar center, GO:0005654|nucleoplasm, GO:0008023|transcription elongation factor complex, GO:0035327|transcriptionally active chromatin, GO:0032783|ELL-EAF complex","GO:0006355|regulation of transcription, DNA-templated, GO:0006366|transcription by RNA polymerase II, GO:0006368|transcription elongation from RNA polymerase II promoter, GO:0007286|spermatid development","GO:0005515|protein binding, GO:0003700|DNA-binding transcription factor activity, GO:0003690|double-stranded DNA binding"
PTPRB,Missense,0.370216571280305,194,1.07715981924147e-07,Y,TSG,TSG,0.420126950353539,1.07109094172235e-09,ENSG00000127329,"GO:0016020|membrane, GO:0016021|integral component of membrane, GO:0005886|plasma membrane, GO:0035579|specific granule membrane, GO:0070821|tertiary granule membrane, GO:0005887|integral component of plasma membrane, GO:0043235|receptor complex","GO:0006470|protein dephosphorylation, GO:0016311|dephosphorylation, GO:0035335|peptidyl-tyrosine dephosphorylation, GO:0001525|angiogenesis, GO:0043312|neutrophil degranulation, GO:0006796|phosphate-containing compound metabolic process","GO:0016787|hydrolase activity, GO:0004721|phosphoprotein phosphatase activity, GO:0005515|protein binding, GO:0004725|protein tyrosine phosphatase activity, GO:0016791|phosphatase activity, GO:0005001|transmembrane receptor protein tyrosine phosphatase activity"
AKT2,Silent,0.369754986443726,21,0.0989948083513382,N,Oncogene,Oncogene,0.389112074785699,0.0812607854437377,ENSG00000105221,"GO:0005634|nucleus, GO:0005737|cytoplasm, GO:0016020|membrane, GO:0043231|intracellular membrane-bounded organelle, GO:0005829|cytosol, GO:0005886|plasma membrane, GO:0005768|endosome, GO:0005654|nucleoplasm, GO:0005769|early endosome, GO:0005938|cell cortex, GO:0032587|ruffle membrane, GO:0032991|protein-containing complex","GO:0046326|positive regulation of glucose import, GO:0030335|positive regulation of cell migration, GO:0032869|cellular response to insulin stimulus, GO:0006468|protein phosphorylation, GO:0016310|phosphorylation, GO:0007165|signal transduction, GO:0006915|apoptotic process, GO:0005975|carbohydrate metabolic process, GO:0007275|multicellular organism development, GO:0008643|carbohydrate transport, GO:0043491|protein kinase B signaling, GO:0035556|intracellular signal transduction, GO:0018105|peptidyl-serine phosphorylation, GO:0045444|fat cell differentiation, GO:0001934|positive regulation of protein phosphorylation, GO:0006417|regulation of translation, GO:0090314|positive regulation of protein targeting to membrane, GO:0005977|glycogen metabolic process, GO:0006006|glucose metabolic process, GO:0008284|positive regulation of cell proliferation, GO:0005978|glycogen biosynthetic process, GO:0030334|regulation of cell migration, GO:0043066|negative regulation of apoptotic process, GO:0006464|cellular protein modification process, GO:0008286|insulin receptor signaling pathway, GO:2000147|positive regulation of cell motility, GO:0060644|mammary gland epithelial cell differentiation, GO:0045725|positive regulation of glycogen biosynthetic process, GO:0031340|positive regulation of vesicle fusion, GO:0010748|negative regulation of plasma membrane long-chain fatty acid transport, GO:0010907|positive regulation of glucose metabolic process, GO:0010918|positive regulation of mitochondrial membrane potential, GO:0032000|positive regulation of fatty acid beta-oxidation, GO:0032287|peripheral nervous system myelin maintenance, GO:0065002|intracellular protein transmembrane transport, GO:0071156|regulation of cell cycle arrest, GO:0071486|cellular response to high light intensity, GO:0072659|protein localization to plasma membrane, GO:0090630|activation of GTPase activity, GO:0097473|retinal rod cell apoptotic process","GO:0046872|metal ion binding, GO:0000166|nucleotide binding, GO:0004672|protein kinase activity, GO:0004674|protein serine/threonine kinase activity, GO:0005524|ATP binding, GO:0016740|transferase activity, GO:0016301|kinase activity, GO:0005515|protein binding"
PIK3CB,Silent,0.369634682231515,21,0.0991132135435968,N,Oncogene,Oncogene,0.650970334771921,0.00139366425364704,ENSG00000051382,"GO:0005634|nucleus, GO:0005737|cytoplasm, GO:0005730|nucleolus, GO:0030496|midbody, GO:0005886|plasma membrane, GO:0016020|membrane, GO:0005829|cytosol, GO:0005942|phosphatidylinositol 3-kinase complex","GO:0016310|phosphorylation, GO:0007155|cell adhesion, GO:0007186|G protein-coupled receptor signaling pathway, GO:0006914|autophagy, GO:0046854|phosphatidylinositol phosphorylation, GO:0048015|phosphatidylinositol-mediated signaling, GO:0038095|Fc-epsilon receptor signaling pathway, GO:0038096|Fc-gamma receptor signaling pathway involved in phagocytosis, GO:0050900|leukocyte migration, GO:0050852|T cell receptor signaling pathway, GO:0006468|protein phosphorylation, GO:0014065|phosphatidylinositol 3-kinase signaling, GO:0006897|endocytosis, GO:0010508|positive regulation of autophagy, GO:0016477|cell migration, GO:0006935|chemotaxis, GO:0007165|signal transduction, GO:0070527|platelet aggregation, GO:0030168|platelet activation, GO:0007411|axon guidance, GO:0014068|positive regulation of phosphatidylinositol 3-kinase signaling, GO:0019221|cytokine-mediated signaling pathway, GO:0033031|positive regulation of neutrophil apoptotic process, GO:0036092|phosphatidylinositol-3-phosphate biosynthetic process, GO:0051897|positive regulation of protein kinase B signaling, GO:0048010|vascular endothelial growth factor receptor signaling pathway, GO:0007169|transmembrane receptor protein tyrosine kinase signaling pathway, GO:0010628|positive regulation of gene expression, GO:0000187|activation of MAPK activity, GO:0001952|regulation of cell-matrix adhesion, GO:2000369|regulation of clathrin-dependent endocytosis, GO:0001935|endothelial cell proliferation, GO:0006874|cellular calcium ion homeostasis, GO:0007156|homophilic cell adhesion via plasma membrane adhesion molecules, GO:0009611|response to wounding, GO:0040016|embryonic cleavage, GO:0060055|angiogenesis involved in wound healing","GO:0000166|nucleotide binding, GO:0005524|ATP binding, GO:0016740|transferase activity, GO:0016301|kinase activity, GO:0005515|protein binding, GO:0016303|1-phosphatidylinositol-3-kinase activity, GO:0035004|phosphatidylinositol 3-kinase activity, GO:0046934|phosphatidylinositol-4,5-bisphosphate 3-kinase activity, GO:0035005|1-phosphatidylinositol-4-phosphate 3-kinase activity, GO:0043560|insulin receptor substrate binding"
CBLB,Silent,0.367899647401701,36,0.0272745079098298,N,TSG,TSG,0.455843628592978,0.00520619529835914,ENSG00000114423,"GO:0005737|cytoplasm, GO:0005829|cytosol, GO:0005654|nucleoplasm, GO:0005886|plasma membrane, GO:0045121|membrane raft","GO:0016567|protein ubiquitination, GO:0023051|regulation of signaling, GO:0007166|cell surface receptor signaling pathway, GO:0007165|signal transduction, GO:0006607|NLS-bearing protein import into nucleus, GO:0007175|negative regulation of epidermal growth factor-activated receptor activity, GO:2000583|regulation of platelet-derived growth factor receptor-alpha signaling pathway","GO:0005509|calcium ion binding, GO:0004842|ubiquitin-protein transferase activity, GO:0001784|phosphotyrosine residue binding, GO:0046872|metal ion binding, GO:0016740|transferase activity, GO:0005515|protein binding, GO:0061630|ubiquitin protein ligase activity, GO:0017124|SH3 domain binding, GO:0008270|zinc ion binding, GO:0030971|receptor tyrosine kinase binding"
TP63,Missense,0.367213558523444,94,0.000271908928204566,Y,"oncogene, TSG","",0.38035174713657,0.000155908556825081,ENSG00000073282,"GO:0005739|mitochondrion, GO:0005634|nucleus, GO:0005794|Golgi apparatus, GO:0005829|cytosol, GO:0005654|nucleoplasm, GO:0005791|rough endoplasmic reticulum, GO:0030425|dendrite, GO:0032991|protein-containing complex, GO:0043005|neuron projection, GO:0000790|nuclear chromatin, GO:0005737|cytoplasm","GO:0045944|positive regulation of transcription by RNA polymerase II, GO:0045669|positive regulation of osteoblast differentiation, GO:0006355|regulation of transcription, DNA-templated, GO:0006915|apoptotic process, GO:0007275|multicellular organism development, GO:0051262|protein tetramerization, GO:0007219|Notch signaling pathway, GO:0045893|positive regulation of transcription, DNA-templated, GO:0032502|developmental process, GO:0000122|negative regulation of transcription by RNA polymerase II, GO:0001302|replicative cell aging, GO:0001501|skeletal system development, GO:0001736|establishment of planar polarity, GO:0001738|morphogenesis of a polarized epithelium, GO:0001942|hair follicle development, GO:0002064|epithelial cell development, GO:0006338|chromatin remodeling, GO:0007283|spermatogenesis, GO:0007389|pattern specification process, GO:0007499|ectoderm and mesoderm interaction, GO:0007568|aging, GO:0007569|cell aging, GO:0008283|cell proliferation, GO:0008544|epidermis development, GO:0009887|animal organ morphogenesis, GO:0009913|epidermal cell differentiation, GO:0009954|proximal/distal pattern formation, GO:0010259|multicellular organism aging, GO:0010481|epidermal cell division, GO:0010482|regulation of epidermal cell division, GO:0010838|positive regulation of keratinocyte proliferation, GO:0030154|cell differentiation, GO:0030216|keratinocyte differentiation, GO:0030326|embryonic limb morphogenesis, GO:0030850|prostate gland development, GO:0030855|epithelial cell differentiation, GO:0030859|polarized epithelial cell differentiation, GO:0031069|hair follicle morphogenesis, GO:0033147|negative regulation of intracellular estrogen receptor signaling pathway, GO:0035115|embryonic forelimb morphogenesis, GO:0035116|embryonic hindlimb morphogenesis, GO:0036342|post-anal tail morphogenesis, GO:0042475|odontogenesis of dentin-containing tooth, GO:0042771|intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator, GO:0043281|regulation of cysteine-type endopeptidase activity involved in apoptotic process, GO:0043589|skin morphogenesis, GO:0045617|negative regulation of keratinocyte differentiation, GO:0045747|positive regulation of Notch signaling pathway, GO:0048485|sympathetic nervous system development, GO:0048646|anatomical structure formation involved in morphogenesis, GO:0048807|female genitalia morphogenesis, GO:0051402|neuron apoptotic process, GO:0060197|cloacal septation, GO:0060513|prostatic bud formation, GO:0060529|squamous basal epithelial stem cell differentiation involved in prostate gland acinus development, GO:0061436|establishment of skin barrier, GO:0098773|skin epidermis development, GO:1904674|positive regulation of somatic stem cell population maintenance, GO:1904888|cranial skeletal system development, GO:2000381|negative regulation of mesoderm development, GO:2001235|positive regulation of apoptotic signaling pathway, GO:0042981|regulation of apoptotic process, GO:0045892|negative regulation of transcription, DNA-templated, GO:1901796|regulation of signal transduction by p53 class mediator, GO:0051289|protein homotetramerization, GO:1900740|positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway, GO:2000271|positive regulation of fibroblast apoptotic process, GO:0007049|cell cycle","GO:0046872|metal ion binding, GO:0003677|DNA binding, GO:0003700|DNA-binding transcription factor activity, GO:0005515|protein binding, GO:0044212|transcription regulatory region DNA binding, GO:0042802|identical protein binding, GO:0001228|DNA-binding transcription activator activity, RNA polymerase II-specific, GO:0003682|chromatin binding, GO:0003684|damaged DNA binding, GO:0003690|double-stranded DNA binding, GO:0019904|protein domain specific binding, GO:0043565|sequence-specific DNA binding, GO:0000981|DNA-binding transcription factor activity, RNA polymerase II-specific, GO:0002039|p53 binding, GO:0097371|MDM2/MDM4 family protein binding, GO:0050699|WW domain binding"
KDR,Missense,0.364972119319751,202,9.27385243365093e-08,Y,Oncogene,Oncogene,0.373814005220019,4.25592799627618e-08,ENSG00000128052,"GO:0005634|nucleus, GO:0005737|cytoplasm, GO:0016020|membrane, GO:0016021|integral component of membrane, GO:0005783|endoplasmic reticulum, GO:0005794|Golgi apparatus, GO:0005886|plasma membrane, GO:0005576|extracellular region, GO:0030054|cell junction, GO:0031410|cytoplasmic vesicle, GO:0045121|membrane raft, GO:0005887|integral component of plasma membrane, GO:0043235|receptor complex, GO:0005768|endosome, GO:0005769|early endosome, GO:0097443|sorting endosome","GO:0043536|positive regulation of blood vessel endothelial cell migration, GO:0010629|negative regulation of gene expression, GO:0045766|positive regulation of angiogenesis, GO:0008284|positive regulation of cell proliferation, GO:0010595|positive regulation of endothelial cell migration, GO:0090050|positive regulation of cell migration involved in sprouting angiogenesis, GO:0030335|positive regulation of cell migration, GO:0008360|regulation of cell shape, GO:0006468|protein phosphorylation, GO:0016310|phosphorylation, GO:0007169|transmembrane receptor protein tyrosine kinase signaling pathway, GO:0018108|peptidyl-tyrosine phosphorylation, GO:0007275|multicellular organism development, GO:0030154|cell differentiation, GO:0038084|vascular endothelial growth factor signaling pathway, GO:0048010|vascular endothelial growth factor receptor signaling pathway, GO:0043410|positive regulation of MAPK cascade, GO:0070374|positive regulation of ERK1 and ERK2 cascade, GO:0001934|positive regulation of protein phosphorylation, GO:0016032|viral process, GO:0001525|angiogenesis, GO:0016477|cell migration, GO:0043066|negative regulation of apoptotic process, GO:0001938|positive regulation of endothelial cell proliferation, GO:0046777|protein autophosphorylation, GO:0030198|extracellular matrix organization, GO:2000352|negative regulation of endothelial cell apoptotic process, GO:0035924|cellular response to vascular endothelial growth factor stimulus, GO:0002042|cell migration involved in sprouting angiogenesis, GO:0051894|positive regulation of focal adhesion assembly, GO:0014068|positive regulation of phosphatidylinositol 3-kinase signaling, GO:0002040|sprouting angiogenesis, GO:0016239|positive regulation of macroautophagy, GO:0001570|vasculogenesis, GO:0035584|calcium-mediated signaling using intracellular calcium source, GO:0038083|peptidyl-tyrosine autophosphorylation, GO:0038033|positive regulation of endothelial cell chemotaxis by VEGF-activated vascular endothelial growth factor receptor signaling pathway, GO:0070371|ERK1 and ERK2 cascade, GO:0051901|positive regulation of mitochondrial depolarization, GO:0090141|positive regulation of mitochondrial fission, GO:0050927|positive regulation of positive chemotaxis, GO:0035162|embryonic hemopoiesis, GO:2001214|positive regulation of vasculogenesis, GO:0003158|endothelium development, GO:0043491|protein kinase B signaling, GO:0045446|endothelial cell differentiation, GO:0051770|positive regulation of nitric-oxide synthase biosynthetic process, GO:1904881|cellular response to hydrogen sulfide","GO:0000166|nucleotide binding, GO:0004672|protein kinase activity, GO:0005524|ATP binding, GO:0016740|transferase activity, GO:0016301|kinase activity, GO:0004713|protein tyrosine kinase activity, GO:0005515|protein binding, GO:0004714|transmembrane receptor protein tyrosine kinase activity, GO:0005021|vascular endothelial growth factor-activated receptor activity, GO:0019838|growth factor binding, GO:0042802|identical protein binding, GO:0051879|Hsp90 protein binding, GO:0005178|integrin binding, GO:0038085|vascular endothelial growth factor binding"
NKX2-1,Missense,0.364768614197897,37,0.0264354014008383,N,"oncogene, TSG","",0.4521535955745,0.00496102769506868,ENSG00000136352,"GO:0005634|nucleus, GO:0005654|nucleoplasm, GO:0005667|transcription factor complex","GO:0006355|regulation of transcription, DNA-templated, GO:0048511|rhythmic process, GO:0045893|positive regulation of transcription, DNA-templated, GO:0045944|positive regulation of transcription by RNA polymerase II, GO:0010628|positive regulation of gene expression, GO:0045892|negative regulation of transcription, DNA-templated, GO:0042753|positive regulation of circadian rhythm, GO:0030878|thyroid gland development, GO:0007420|brain development, GO:0010719|negative regulation of epithelial to mesenchymal transition, GO:0030336|negative regulation of cell migration, GO:0030512|negative regulation of transforming growth factor beta receptor signaling pathway, GO:0000122|negative regulation of transcription by RNA polymerase II, GO:0009725|response to hormone, GO:0030324|lung development, GO:0030900|forebrain development, GO:0021759|globus pallidus development, GO:0060441|epithelial tube branching involved in lung morphogenesis, GO:0001764|neuron migration, GO:0006357|regulation of transcription by RNA polymerase II, GO:0006644|phospholipid metabolic process, GO:0007389|pattern specification process, GO:0007411|axon guidance, GO:0007492|endoderm development, GO:0007626|locomotory behavior, GO:0009887|animal organ morphogenesis, GO:0021537|telencephalon development, GO:0021766|hippocampus development, GO:0021795|cerebral cortex cell migration, GO:0021798|forebrain dorsal/ventral pattern formation, GO:0021877|forebrain neuron fate commitment, GO:0021879|forebrain neuron differentiation, GO:0021892|cerebral cortex GABAergic interneuron differentiation, GO:0021895|cerebral cortex neuron differentiation, GO:0021983|pituitary gland development, GO:0022029|telencephalon cell migration, GO:0031128|developmental induction, GO:0033327|Leydig cell differentiation, GO:0048646|anatomical structure formation involved in morphogenesis, GO:0048663|neuron fate commitment, GO:0048709|oligodendrocyte differentiation, GO:0060430|lung saccule development, GO:0060486|Clara cell differentiation, GO:0060510|type II pneumocyte differentiation","GO:0003677|DNA binding, GO:0003700|DNA-binding transcription factor activity, GO:0043565|sequence-specific DNA binding, GO:0005515|protein binding, GO:0000981|DNA-binding transcription factor activity, RNA polymerase II-specific, GO:0019899|enzyme binding, GO:0044212|transcription regulatory region DNA binding, GO:0000980|RNA polymerase II distal enhancer sequence-specific DNA binding, GO:0000978|RNA polymerase II proximal promoter sequence-specific DNA binding, GO:0000977|RNA polymerase II regulatory region sequence-specific DNA binding, GO:0001012|RNA polymerase II regulatory region DNA binding, GO:0001161|intronic transcription regulatory region sequence-specific DNA binding, GO:0044213|intronic transcription regulatory region DNA binding"
PIK3R1,Silent,0.364340818071904,16,0.165323498622937,N,TSG,TSG,0.406060858731984,0.118614016120668,ENSG00000145675,"GO:0005634|nucleus, GO:0005737|cytoplasm, GO:0016020|membrane, GO:0005886|plasma membrane, GO:0005801|cis-Golgi network, GO:0005829|cytosol, GO:0005911|cell-cell junction, GO:0005942|phosphatidylinositol 3-kinase complex, GO:0032991|protein-containing complex, GO:1990578|perinuclear endoplasmic reticulum membrane, GO:0005943|phosphatidylinositol 3-kinase complex, class IA","GO:0046326|positive regulation of glucose import, GO:1903078|positive regulation of protein localization to plasma membrane, GO:0015031|protein transport, GO:0007165|signal transduction, GO:0036092|phosphatidylinositol-3-phosphate biosynthetic process, GO:0038095|Fc-epsilon receptor signaling pathway, GO:0038096|Fc-gamma receptor signaling pathway involved in phagocytosis, GO:0050900|leukocyte migration, GO:0043551|regulation of phosphatidylinositol 3-kinase activity, GO:0050852|T cell receptor signaling pathway, GO:0001678|cellular glucose homeostasis, GO:0001953|negative regulation of cell-matrix adhesion, GO:0006468|protein phosphorylation, GO:0006606|protein import into nucleus, GO:0007162|negative regulation of cell adhesion, GO:0008286|insulin receptor signaling pathway, GO:0008625|extrinsic apoptotic signaling pathway via death domain receptors, GO:0008630|intrinsic apoptotic signaling pathway in response to DNA damage, GO:0030183|B cell differentiation, GO:0030335|positive regulation of cell migration, GO:0032760|positive regulation of tumor necrosis factor production, GO:0032869|cellular response to insulin stimulus, GO:0034644|cellular response to UV, GO:0034976|response to endoplasmic reticulum stress, GO:0042307|positive regulation of protein import into nucleus, GO:0043066|negative regulation of apoptotic process, GO:0045671|negative regulation of osteoclast differentiation, GO:0045944|positive regulation of transcription by RNA polymerase II, GO:0046626|regulation of insulin receptor signaling pathway, GO:0051492|regulation of stress fiber assembly, GO:1903076|regulation of protein localization to plasma membrane, GO:0050821|protein stabilization, GO:0016032|viral process, GO:0007186|G protein-coupled receptor signaling pathway, GO:0046854|phosphatidylinositol phosphorylation, GO:0030168|platelet activation, GO:0007411|axon guidance, GO:0014068|positive regulation of phosphatidylinositol 3-kinase signaling, GO:0019221|cytokine-mediated signaling pathway, GO:0051897|positive regulation of protein kinase B signaling, GO:0048010|vascular endothelial growth factor receptor signaling pathway, GO:0048015|phosphatidylinositol-mediated signaling, GO:0060396|growth hormone receptor signaling pathway, GO:0038128|ERBB2 signaling pathway, GO:0031295|T cell costimulation, GO:0033120|positive regulation of RNA splicing, GO:1900103|positive regulation of endoplasmic reticulum unfolded protein response, GO:0007173|epidermal growth factor receptor signaling pathway, GO:0014065|phosphatidylinositol 3-kinase signaling, GO:0048009|insulin-like growth factor receptor signaling pathway","GO:0005515|protein binding, GO:0008134|transcription factor binding, GO:0035014|phosphatidylinositol 3-kinase regulator activity, GO:0036312|phosphatidylinositol 3-kinase regulatory subunit binding, GO:0043560|insulin receptor substrate binding, GO:0046982|protein heterodimerization activity, GO:0046935|1-phosphatidylinositol-3-kinase regulator activity, GO:0019903|protein phosphatase binding, GO:0046934|phosphatidylinositol-4,5-bisphosphate 3-kinase activity, GO:0001784|phosphotyrosine residue binding, GO:0016303|1-phosphatidylinositol-3-kinase activity, GO:0005159|insulin-like growth factor receptor binding, GO:0005158|insulin receptor binding, GO:0043559|insulin binding, GO:0005168|neurotrophin TRKA receptor binding, GO:0005068|transmembrane receptor protein tyrosine kinase adaptor activity, GO:0043125|ErbB-3 class receptor binding, GO:0043548|phosphatidylinositol 3-kinase binding"
ARID1A,Nonsense,0.363469292285038,145,7.00519840528466e-06,Y,"TSG, fusion",TSG,0.701347242109694,8.92569046296561e-23,ENSG00000117713,"GO:0005634|nucleus, GO:0005654|nucleoplasm, GO:0016514|SWI/SNF complex, GO:0070603|SWI/SNF superfamily-type complex, GO:0000790|nuclear chromatin, GO:0071564|npBAF complex, GO:0071565|nBAF complex","GO:0006338|chromatin remodeling, GO:0006325|chromatin organization, GO:0045893|positive regulation of transcription, DNA-templated, GO:0007399|nervous system development, GO:0030521|androgen receptor signaling pathway, GO:0000122|negative regulation of transcription by RNA polymerase II, GO:0001704|formation of primary germ layer, GO:0001843|neural tube closure, GO:0003205|cardiac chamber development, GO:0003408|optic cup formation involved in camera-type eye development, GO:0006337|nucleosome disassembly, GO:0006344|maintenance of chromatin silencing, GO:0006357|regulation of transcription by RNA polymerase II, GO:0007369|gastrulation, GO:0007566|embryo implantation, GO:0019827|stem cell population maintenance, GO:0030520|intracellular estrogen receptor signaling pathway, GO:0030900|forebrain development, GO:0042766|nucleosome mobilization, GO:0042921|glucocorticoid receptor signaling pathway, GO:0043044|ATP-dependent chromatin remodeling, GO:0048096|chromatin-mediated maintenance of transcription, GO:0055007|cardiac muscle cell differentiation, GO:0060674|placenta blood vessel development, GO:1901998|toxin transport","GO:0003677|DNA binding, GO:0005515|protein binding, GO:0000981|DNA-binding transcription factor activity, RNA polymerase II-specific, GO:0003713|transcription coactivator activity, GO:0016922|nuclear receptor binding, GO:0031491|nucleosome binding"
AMER1,Missense,0.361815365017382,74,0.00153747130262743,Y,TSG,TSG,0.609446581465925,8.28417782129677e-09,ENSG00000184675,"GO:0005634|nucleus, GO:0005737|cytoplasm, GO:0016020|membrane, GO:0043231|intracellular membrane-bounded organelle, GO:0005886|plasma membrane, GO:0016604|nuclear body, GO:0005829|cytosol","GO:0016055|Wnt signaling pathway, GO:0090090|negative regulation of canonical Wnt signaling pathway, GO:0090263|positive regulation of canonical Wnt signaling pathway, GO:1904886|beta-catenin destruction complex disassembly, GO:1904885|beta-catenin destruction complex assembly, GO:0031398|positive regulation of protein ubiquitination, GO:0060828|regulation of canonical Wnt signaling pathway, GO:1903364|positive regulation of cellular protein catabolic process, GO:0001822|kidney development, GO:0060348|bone development, GO:0060612|adipose tissue development, GO:0072161|mesenchymal cell differentiation involved in kidney development","GO:0005515|protein binding, GO:0008289|lipid binding, GO:0005546|phosphatidylinositol-4,5-bisphosphate binding, GO:0008013|beta-catenin binding, GO:1904713|beta-catenin destruction complex binding"
BRD3,Missense,0.361807205253495,61,0.00416877373734695,Y,"oncogene, fusion",Oncogene,0.379322977048639,0.00257094072377998,ENSG00000169925,GO:0005634|nucleus,"GO:0006325|chromatin organization, GO:0006357|regulation of transcription by RNA polymerase II","GO:0005515|protein binding, GO:0003682|chromatin binding, GO:0070577|lysine-acetylated histone binding"
